Total Enterprise Value,Market Capitalization,Total Revenue,Gross Profit,EBITDA,Net Income,Total Debt
  9.69 ,  3.39 ,  0.17 ,  0.019 ,-,  (3.3)  ,  6.49 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
  (8.11)  ,  2.57 ,  78.1 ,  52.1 ,  (50.8)  ,  (50.5)  ,  11.7 
-,-,-,-,-,-,-
-,-,  12.5 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  10.9 ,-,-,-,-
-,-,  23.3 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  21.3 ,-,-,-,-
-,-,  120.8 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  70.1 ,-,-,-,-
-,-,-,-,-,-,-
  2.04 ,  0.808 ,  6.21 ,  1.66 ,  (19.1)  ,  (20.2)  ,  7.8 
"  2,298.0 ",  5.1 ,  760.3 ,  471.1 ,  197.3 ,  (639.6)  ,"  2,354.8 "
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,  0.004 ,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  24.7 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  22.4 ,-,-,-,-
-,-,-,-,-,-,-
  563.5 ,  0.812 ,  753.9 ,  88.6 ,  18.7 ,  (36.4)  ,  611.4 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
  81.3 ,  1.39 ,  102.8 ,  26.7 ,  (71.8)  ,  (103.4)  ,  129.1 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,  0.002 ,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  11.7 ,-,-,-,-
  7.26 ,  0.001 ,  27.0 ,  2.53 ,  (4.13)  ,  (5.36)  ,  10.6 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  705.4 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
  593.4 ,  0.319 ,  310.7 ,  56.0 ,  (29.6)  ,  (259.1)  ,  639.6 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  4.2 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
"  3,445.9 ",  169.9 ,"  5,344.7 ","  1,214.9 ",  (731.0)  ,"  (3,498.8)  ","  3,341.9 "
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  4.29 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  44.9 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
  (9.4)  ,  0.117 ,  4.54 ,  0.203 ,  (64.3)  ,  (27.6)  ,  0.172 
-,-,-,-,-,-,-
-,-,  6.66 ,-,-,-,-
-,-,-,-,-,-,-
-,-,-,-,-,-,-
-,-,  645.7 ,-,-,-,-
-,-,-,-,-,-,-
  (20.6)  ,  1.04 ,  12.7 ,  5.3 ,  (115.1)  ,  (75.5)  ,  37.6 
-,-,-,-,-,-,-
-,-,-,-,-,-,-
