Total Enterprise Value,Market Capitalization,Total Revenue,Gross Profit,EBITDA,Net Income,Total Debt
375697.6,51241.5,96383.0,16747.0,24704.0,817.0,222827.0
137917.5,107953.2,6832.8,5167.0,4772.8,2678.7,25795.7
106294.0,101906.0,17417.0,8485.0,6576.0,4899.0,8492.0
65726.2,59890.3,8140.2,5280.9,3702.1,2632.4,8979.0
33694.2,25721.9,2674.0,1738.6,1655.6,1021.6,8224.3
31922.8,16452.0,3153.8,1309.5,1077.1,215.7,13581.7
26374.7,24864.2,2596.3,2209.7,1863.9,1704.8,2205.0
24704.5,23139.7,1600.2,1064.2,796.5,188.4,2296.6
24003.3,23594.2,2017.2,1372.8,1233.4,1086.8,1240.3
23510.3,22718.6,5875.1,5875.1,5695.8,5657.4,971.2
22277.2,12378.6,2144.9,962.1,710.0,642.1,9442.4
19006.5,10863.4,3715.9,2034.4,1573.7,754.1,8856.4
15107.3,11301.8,1507.2,954.3,871.4,614.8,3755.6
12999.7,5164.2,6034.0,4266.0,1561.5,635.5,5856.8
12704.8,2788.0,1325.4,439.2,299.5,  (367.8)  ,9082.9
12042.3,7725.7,723.1,459.5,416.9,320.6,4710.0
10738.4,2017.5,1616.5,1214.0,624.5,  (273.0)  ,5782.2
9373.6,4390.2,9298.3,1030.5,1397.0,701.4,6480.4
8291.0,2284.9,894.6,668.9,487.3,673.6,6001.7
6096.9,3775.7,584.3,418.7,369.0,54.9,1967.3
5846.4,3545.0,668.1,433.6,402.7,465.1,2819.5
5139.6,905.8,689.7,408.6,347.7,  (38.0)  ,3841.5
4671.6,5024.9,1853.1,1754.3,307.2,  (675.9)  ,1021.7
4267.4,4284.8,309.0,70.0,140.0,  (161.0)  ,67.0
3831.8,1485.7,2295.8,944.8,354.8,118.0,1866.1
3630.7,1982.4,361.6,361.6,285.8,200.0,1719.4
3541.2,1282.5,291.6,187.7,143.6,  (38.9)  ,1789.3
3283.4,2917.8,528.8,330.3,247.5,109.1,306.6
2675.3,1296.6,296.7,195.4,166.4,28.0,1222.5
2524.8,5937.5,4276.4,1986.1,1024.8,593.2,173.8
2421.1,1448.3,  (67.6)  ,146.7,57.8,  (18.4)  ,219.6
2285.3,2681.6,228.9,160.0,114.9,  (18.0)  ,61.8
1959.0,647.8,268.1,89.6,42.6,115.9,1347.7
1312.9,692.6,119.3,119.3,100.7,33.1,641.9
1282.5,255.7,434.9,122.7,2.13,  (20.4)  ,576.0
1186.0,1153.7,192.2,192.2,166.4,143.4,68.2
1022.8,493.0,492.4,492.4,118.8,14.4,577.1
1006.2,1103.9,0.128,  (13.3)  ,  (11.3)  ,  (28.8)  ,61.8
828.3,241.6,85.8,85.8,73.5,35.6,550.0
722.7,514.4,137.5,137.5,105.5,80.4,221.7
664.1,948.4,279.0,279.0,228.7,201.9,1.85
586.1,543.5,115.7,41.5,11.6,  (4.83)  ,53.6
575.8,306.9,439.7,142.0,53.0,13.9,412.9
548.1,463.7,  (269.0)  ,  (269.0)  ,  (298.0)  ,  (301.1)  ,110.5
540.9,576.1,67.4,67.4,27.8,22.6,25.5
495.1,445.6,74.3,33.6,19.9,28.9,103.7
449.7,132.1,52.1,52.1,39.0,  (12.1)  ,328.4
266.6,137.9,52.1,19.5,14.9,2.17,126.3
251.9,141.6,9.32,5.32,2.69,  (3.01)  ,115.1
196.4,678.7,105.9,8.03,  (25.0)  ,305.2,1.12
135.2,30.7,130.5,34.2,  (20.2)  ,  (21.0)  ,2.5
95.6,31.9,41.3,10.0,4.09,  (4.17)  ,57.6
80.3,29.2,29.1,10.7,0.496,  (2.22)  ,67.6
72.8,12.5,16.0,4.1,1.4,  (2.15)  ,70.9
59.8,1.91,6.88,6.88,4.36,1.08,41.0
58.9,25.1,0.087,0.087,  (2.25)  ,  (2.26)  ,49.5
54.3,57.3,3.32,1.79,  (2.11)  ,2.18,0.049
35.7,23.9,0.105,0.105,1.31,  (17.6)  ,10.4
24.3,28.0,10.4,4.9,0.559,0.294,0.937
24.3,10.2,1.22,1.18,  (2.18)  ,  (10.1)  ,4.88
19.9,20.2,1.21,0.942,  (4.26)  ,  (3.73)  ,1.51
8.96,11.5,  (0.436)  ,  (0.436)  ,  (2.21)  ,  (2.06)  ,0.0
6.73,4.23,5.26,1.36,  (1.09)  ,  (6.38)  ,1.48
3.58,6.61,0.003,0.003,  (0.431)  ,  (1.37)  ,0.382
1.24,6.87,0.907,0.852,  (0.637)  ,  (0.64)  ,0.147
