Total Enterprise Value,Market Capitalization,Total Revenue,Gross Profit,EBITDA,Net Income,Total Debt
"  375,697.6 ","  51,241.5 ","  96,383.0 ","  16,747.0 ","  24,704.0 ",  817.0 ,"  222,827.0 "
"  137,917.5 ","  107,953.2 ","  6,832.8 ","  5,167.0 ","  4,772.8 ","  2,678.7 ","  25,795.7 "
"  106,294.0 ","  101,906.0 ","  17,417.0 ","  8,485.0 ","  6,576.0 ","  4,899.0 ","  8,492.0 "
"  65,726.2 ","  59,890.3 ","  8,140.2 ","  5,280.9 ","  3,702.1 ","  2,632.4 ","  8,979.0 "
"  33,694.2 ","  25,721.9 ","  2,674.0 ","  1,738.6 ","  1,655.6 ","  1,021.6 ","  8,224.3 "
"  31,922.8 ","  16,452.0 ","  3,153.8 ","  1,309.5 ","  1,077.1 ",  215.7 ,"  13,581.7 "
"  26,374.7 ","  24,864.2 ","  2,596.3 ","  2,209.7 ","  1,863.9 ","  1,704.8 ","  2,205.0 "
"  24,704.5 ","  23,139.7 ","  1,600.2 ","  1,064.2 ",  796.5 ,  188.4 ,"  2,296.6 "
"  24,003.3 ","  23,594.2 ","  2,017.2 ","  1,372.8 ","  1,233.4 ","  1,086.8 ","  1,240.3 "
"  23,510.3 ","  22,718.6 ","  5,875.1 ","  5,875.1 ","  5,695.8 ","  5,657.4 ",  971.2 
"  22,277.2 ","  12,378.6 ","  2,144.9 ",  962.1 ,  710.0 ,  642.1 ,"  9,442.4 "
"  20,776.4 ","  9,813.4 ","  2,274.0 ","  2,274.0 ",-,  667.0 ,"  11,322.0 "
"  19,006.5 ","  10,863.4 ","  3,715.9 ","  2,034.4 ","  1,573.7 ",  754.1 ,"  8,856.4 "
"  15,107.3 ","  11,301.8 ","  1,507.2 ",  954.3 ,  871.4 ,  614.8 ,"  3,755.6 "
"  13,589.6 ","  5,161.6 ","  1,695.0 ","  1,695.0 ",-,  66.0 ,"  8,678.0 "
"  12,999.7 ","  5,164.2 ","  6,034.0 ","  4,266.0 ","  1,561.5 ",  635.5 ,"  5,856.8 "
"  12,704.8 ","  2,788.0 ","  1,325.4 ",  439.2 ,  299.5 ,  (367.8)  ,"  9,082.9 "
"  12,235.0 ","  5,164.8 ","  1,315.5 ","  1,315.5 ",-,  624.2 ,"  7,383.2 "
"  12,042.3 ","  7,725.7 ",  723.1 ,  459.5 ,  416.9 ,  320.6 ,"  4,710.0 "
"  10,738.4 ","  2,017.5 ","  1,616.5 ","  1,214.0 ",  624.5 ,  (273.0)  ,"  5,782.2 "
"  9,373.6 ","  4,390.2 ","  9,298.3 ","  1,030.5 ","  1,397.0 ",  701.4 ,"  6,480.4 "
"  8,291.0 ","  2,284.9 ",  894.6 ,  668.9 ,  487.3 ,  673.6 ,"  6,001.7 "
"  6,794.0 ","  6,928.3 ","  (1,945.3)  ","  (1,960.6)  ",-,"  (2,000.1)  ",  743.3 
"  6,170.3 ","  2,453.2 ",  815.3 ,  815.3 ,-,  (156.6)  ,"  2,454.4 "
"  6,096.9 ","  3,775.7 ",  584.3 ,  418.7 ,  369.0 ,  54.9 ,"  1,967.3 "
"  5,846.4 ","  3,545.0 ",  668.1 ,  433.6 ,  402.7 ,  465.1 ,"  2,819.5 "
"  5,246.9 ","  2,236.7 ",  499.1 ,  499.1 ,-,  107.6 ,"  3,097.7 "
"  5,139.6 ",  905.8 ,  689.7 ,  408.6 ,  347.7 ,  (38.0)  ,"  3,841.5 "
"  5,072.1 ","  4,122.6 ",  643.8 ,  398.2 ,-,  342.2 ,"  1,599.7 "
"  5,036.2 ","  3,073.8 ",  417.7 ,  417.7 ,-,  256.0 ,"  2,002.1 "
"  4,671.6 ","  5,024.9 ","  1,853.1 ","  1,754.3 ",  307.2 ,  (675.9)  ,"  1,021.7 "
"  4,267.4 ","  4,284.8 ",  309.0 ,  70.0 ,  140.0 ,  (161.0)  ,  67.0 
"  3,976.9 ","  3,346.6 ",  614.9 ,  614.9 ,-,  487.4 ,  619.8 
"  3,831.8 ","  1,485.7 ","  2,295.8 ",  944.8 ,  354.8 ,  118.0 ,"  1,866.1 "
"  3,630.7 ","  1,982.4 ",  361.6 ,  361.6 ,  285.8 ,  200.0 ,"  1,719.4 "
"  3,541.2 ","  1,282.5 ",  291.6 ,  187.7 ,  143.6 ,  (38.9)  ,"  1,789.3 "
"  3,407.6 ","  1,519.3 ",  386.6 ,  386.6 ,-,  42.9 ,"  1,935.4 "
"  3,283.4 ","  2,917.8 ",  528.8 ,  330.3 ,  247.5 ,  109.1 ,  306.6 
"  3,173.7 ","  1,214.3 ",  317.6 ,  317.6 ,-,  83.1 ,"  1,994.1 "
"  3,157.0 ","  1,439.1 ",  308.8 ,  308.8 ,-,  10.1 ,"  1,761.7 "
"  3,082.6 ","  3,082.6 ",  (110.3)  ,  (110.3)  ,-,  (78.3)  ,  0 
"  3,034.8 ","  1,481.3 ",  338.4 ,  338.4 ,-,  120.1 ,"  1,563.0 "
"  2,774.6 ","  3,753.2 ","  (1,175.2)  ","  (1,175.2)  ",-,"  (1,200.5)  ",  339.0 
"  2,675.3 ","  1,296.6 ",  296.7 ,  195.4 ,  166.4 ,  28.0 ,"  1,222.5 "
"  2,524.8 ","  5,937.5 ","  4,276.4 ","  1,986.1 ","  1,024.8 ",  593.2 ,  173.8 
"  2,421.1 ","  1,448.3 ",  (67.6)  ,  146.7 ,  57.8 ,  (18.4)  ,  219.6 
"  2,285.3 ","  2,681.6 ",  228.9 ,  160.0 ,  114.9 ,  (18.0)  ,  61.8 
"  2,255.4 ",  822.3 ,  242.6 ,  242.6 ,-,  23.3 ,"  1,488.5 "
"  2,237.0 ",  858.7 ,  247.4 ,  248.3 ,-,  101.1 ,"  1,408.0 "
"  2,183.6 ",  782.8 ,  247.2 ,  247.2 ,-,  56.5 ,"  1,470.9 "
"  1,959.0 ",  647.8 ,  268.1 ,  89.6 ,  42.6 ,  115.9 ,"  1,347.7 "
"  1,856.8 ",  737.5 ,  218.1 ,  218.1 ,-,  82.9 ,"  1,092.7 "
"  1,681.2 ","  1,521.5 ",  (155.9)  ,  (155.9)  ,-,  (160.3)  ,  163.5 
"  1,533.9 ",  610.0 ,  189.2 ,  189.2 ,-,  1.04 ,"  1,022.6 "
"  1,462.1 ",  555.7 ,  218.2 ,  218.2 ,-,  11.2 ,"  1,002.4 "
"  1,435.4 ",  764.3 ,  198.0 ,  198.0 ,-,  23.7 ,"  1,115.5 "
"  1,411.4 ","  1,880.0 ",  133.9 ,  76.3 ,  31.5 ,"  1,205.4 ",-
"  1,390.6 ",  536.3 ,  129.1 ,  129.6 ,-,  7.11 ,  875.8 
"  1,312.9 ",  692.6 ,  119.3 ,  119.3 ,  100.7 ,  33.1 ,  641.9 
"  1,282.5 ",  255.7 ,  434.9 ,  122.7 ,  2.13 ,  (20.4)  ,  576.0 
"  1,265.9 ","  1,248.9 ",  192.2 ,  192.2 ,-,  (37.8)  ,  455.5 
"  1,186.0 ","  1,153.7 ",  192.2 ,  192.2 ,  166.4 ,  143.4 ,  68.2 
"  1,101.8 ",  518.2 ,  120.4 ,  120.4 ,-,  (12.6)  ,  633.8 
"  1,022.8 ",  493.0 ,  492.4 ,  492.4 ,  118.8 ,  14.4 ,  577.1 
"  1,006.2 ","  1,103.9 ",  0.128 ,  (13.3)  ,  (11.3)  ,  (28.8)  ,  61.8 
  979.9 ,  908.5 ,  4.54 ,  4.54 ,-,  (108.9)  ,  72.8 
  976.7 ,  368.5 ,  118.6 ,  118.6 ,-,  (120.4)  ,  671.3 
  873.9 ,  473.3 ,  102.7 ,  102.7 ,-,  39.6 ,  437.1 
  828.3 ,  241.6 ,  85.8 ,  85.8 ,  73.5 ,  35.6 ,  550.0 
  762.2 ,  775.6 ,  89.0 ,  89.0 ,-,  100.4 ,  0 
  722.7 ,  514.4 ,  137.5 ,  137.5 ,  105.5 ,  80.4 ,  221.7 
  713.5 ,  423.6 ,  81.5 ,  81.5 ,-,  35.5 ,  292.6 
  702.2 ,  290.3 ,  93.7 ,  93.7 ,-,  17.5 ,  423.7 
  694.4 ,  353.1 ,  69.6 ,  69.6 ,-,  17.2 ,  350.3 
  664.1 ,  948.4 ,  279.0 ,  279.0 ,  228.7 ,  201.9 ,  1.85 
  586.1 ,  543.5 ,  115.7 ,  41.5 ,  11.6 ,  (4.83)  ,  53.6 
  575.8 ,  306.9 ,  439.7 ,  142.0 ,  53.0 ,  13.9 ,  412.9 
  548.1 ,  463.7 ,  (269.0)  ,  (269.0)  ,  (298.0)  ,  (301.1)  ,  110.5 
  540.9 ,  576.1 ,  67.4 ,  67.4 ,  27.8 ,  22.6 ,  25.5 
  495.1 ,  445.6 ,  74.3 ,  33.6 ,  19.9 ,  28.9 ,  103.7 
  490.2 ,  168.6 ,  60.9 ,  60.9 ,-,  (0.274)  ,  328.6 
  449.7 ,  132.1 ,  52.1 ,  52.1 ,  39.0 ,  (12.1)  ,  328.4 
  373.1 ,  342.3 ,  61.7 ,  61.7 ,-,  52.2 ,  29.3 
  330.5 ,  347.1 ,  95.9 ,  95.9 ,-,  88.9 ,  0 
  266.6 ,  137.9 ,  52.1 ,  19.5 ,  14.9 ,  2.17 ,  126.3 
  251.9 ,  141.6 ,  9.32 ,  5.32 ,  2.69 ,  (3.01)  ,  115.1 
  245.0 ,  195.3 ,  1.72 ,  1.72 ,-,  (1.01)  ,  49.0 
  196.4 ,  678.7 ,  105.9 ,  8.03 ,  (25.0)  ,  305.2 ,  1.12 
  195.3 ,  52.9 ,  25.9 ,  25.9 ,-,  (2.92)  ,  145.3 
  164.7 ,  54.4 ,  16.8 ,  16.8 ,-,  (11.8)  ,  119.7 
  147.6 ,  78.9 ,  18.4 ,  18.4 ,-,  (3.22)  ,  79.5 
  142.3 ,  199.7 ,  (23.8)  ,  (23.8)  ,-,  (28.9)  ,  0 
  135.2 ,  30.7 ,  130.5 ,  34.2 ,  (20.2)  ,  (21.0)  ,  2.5 
  129.8 ,  150.2 ,  (211.1)  ,  (211.1)  ,-,  (214.6)  ,  0 
  109.9 ,  85.3 ,  21.0 ,  21.0 ,-,  17.2 ,  23.7 
  107.0 ,  81.3 ,  4.17 ,  4.17 ,-,  (148.0)  ,  73.7 
  95.6 ,  31.9 ,  41.3 ,  10.0 ,  4.09 ,  (4.17)  ,  57.6 
  83.0 ,  93.1 ,  (79.8)  ,  (79.8)  ,-,  (81.4)  ,  0 
  80.3 ,  29.2 ,  29.1 ,  10.7 ,  0.496 ,  (2.22)  ,  67.6 
  72.8 ,  12.5 ,  16.0 ,  4.1 ,  1.4 ,  (2.15)  ,  70.9 
  64.6 ,  100.8 ,  8.16 ,  3.76 ,-,  0.781 ,  10.3 
  59.8 ,  1.91 ,  6.88 ,  6.88 ,  4.36 ,  1.08 ,  41.0 
  58.9 ,  25.1 ,  0.087 ,  0.087 ,  (2.25)  ,  (2.26)  ,  49.5 
  54.3 ,  57.3 ,  3.32 ,  1.79 ,  (2.11)  ,  2.18 ,  0.049 
  52.3 ,  71.9 ,  20.2 ,  20.2 ,-,  19.7 ,  0 
  39.7 ,  33.6 ,  6.49 ,  6.49 ,-,  1.7 ,  7.95 
  35.7 ,  23.9 ,  0.105 ,  0.105 ,  1.31 ,  (17.6)  ,  10.4 
  35.0 ,  56.5 ,  (15.0)  ,  (15.0)  ,-,  (17.4)  ,  0 
